Source,Type_of_Source,Text,Ideology,Label,Geographical_Location,Author_Country_Affiliation,
Vox Pol Fabio https://www.vox.com/21506029/trump-violence-tweets-racist-hate-speech,Website,"When Mexico sends its people, theyâ€™re not sending their best. Theyâ€™re not sending you. Theyâ€™re not sending you. Theyâ€™re sending people that have lots of problems, and theyâ€™re bringing those problems with us. Theyâ€™re bringing drugs. Theyâ€™re bringing crime. Theyâ€™re rapists. And some, I assume, are good people.",White Supremacist,Radicalization,-,USA,
"Atomwaffen Report ""https://thesoufancenter.org/wp-content/uploads/2020/08/The-Atomwaffen-Division-The-Evolution-of-the-White-Supremacy-Threat-August-2020-.pdf""",Report,We will vanquish the modern world in totality,White Supremacist,Recruitment,-,USA,
"Atomwaffen Report ""https://thesoufancenter.org/wp-content/uploads/2020/08/The-Atomwaffen-Division-The-Evolution-of-the-White-Supremacy-Threat-August-2020-.pdf""",Report,"join us, or perish with the rest",White Supremacist,Recruitment,-,USA,
"Atomwaffen Report ""https://thesoufancenter.org/wp-content/uploads/2020/08/The-Atomwaffen-Division-The-Evolution-of-the-White-Supremacy-Threat-August-2020-.pdf""",Report,We pledge our allegiance to AtomWaffen Division,White Supremacist,Recruitment,-,USA,
"Loadenthal ""https://www.academia.edu/42910889/_2020_Accelerating_Hate_Atomwaffen_Division_Contemporary_Digital_Fascism_and_Insurrectionary_Accelerationism""",Research Article,to shake the state and social order in Germany and in the end to overturn it,White Supremacist,Recruitment,Germany,-,
"Loadenthal ""https://www.academia.edu/42910889/_2020_Accelerating_Hate_Atomwaffen_Division_Contemporary_Digital_Fascism_and_Insurrectionary_Accelerationism""",Research Article,The belief that a social systemâ€™s internal contradictions should be pushed to their limits in order to encourage rather than overcome thesystemâ€™s self-destructive tendencies. This is done to hasten the systemâ€™s collapse or demise as well as create space for radical social change to take root. ,White Supremacist,Radicalization,,,
"Loadenthal ""https://www.academia.edu/42910889/_2020_Accelerating_Hate_Atomwaffen_Division_Contemporary_Digital_Fascism_and_Insurrectionary_Accelerationism""",Research Article,"join,family,group",White Supremacist,Recruitment,,,
"Loadenthal ""https://www.academia.edu/42910889/_2020_Accelerating_Hate_Atomwaffen_Division_Contemporary_Digital_Fascism_and_Insurrectionary_Accelerationism""",Research Article,"The time for violent revolution is now, that time is already here, itâ€™s here right now as we speak. You have one of two options if you understand the truth and you understand the gravity of the situation....Option number one, prepare for the collapse. Option number two, bring the collapse. That is it. If you are not getting physically fit, if you are not getting armed, if you do not acquiring weapons [sic], ammunition, and training right fucking now, then you should be preparing to do what needs to be done. Derail some fucking trains, kill some people, and poison some water supplies. You better be fucking ready to do those things.",White Supremacist,Radicalization,,,
"Loadenthal ""https://www.academia.edu/42910889/_2020_Accelerating_Hate_Atomwaffen_Division_Contemporary_Digital_Fascism_and_Insurrectionary_Accelerationism""",Research Article,"Kang versus kike has potential to wreak havoc on the system. But we should not fall into the mindset that they are necessary allies for our long term success. There can be no long term success for our folk if we are to rely on billions of starving, diseased, low iq nogs. Our cause transcends the end of the jew. Our cause is for eternity. Total Victory must be ours and ours alone. So long as we recognize that fact; by all means, set the apes loose on the rats nest in the meantime. ",White Supremacist,Radicalization,,,
Thompson https://www.propublica.org/article/atomwaffen-division-inside-white-hate-group,Website,Politics are useless. Revolution is necessary,White Supremacist,Radicalization,-,USA,
Thompson https://www.propublica.org/article/atomwaffen-division-inside-white-hate-group,Website,"We want men who are willing to be the boots on the ground. Joining us means serious dedication not only to the Atomwaffen Division and its members, but to the goal of Total Aryan Victory.",White Supremacist,Recruitment,-,USA,
Thompson https://www.propublica.org/article/atomwaffen-division-inside-white-hate-group,Website,"The only acceptable case of miscegenation is what the serbs did to captured bosniak women,Force them to carry around the spawn of their master and enemy",White Supremacist,Radicalization,"Bosnia,Serbia",USA,
Thompson https://www.propublica.org/article/atomwaffen-division-inside-white-hate-group,Website,We are only going to inspire more copycat crimes in the name of AWD. All we have to do is spread our image and our propaganda,White Supremacist,Propaganda,-,USA,
ADL https://www.adl.org/resources/reports/white-supremacist-propaganda-surges-on-campus,Website,Jews will not replace us,White Supremacist,Radicalization,-,USA,
ADL https://www.adl.org/resources/reports/white-supremacist-propaganda-surges-on-campus,Website,Secure our Border Secure our Future,White Supremacist,Radicalization,-,USA,
ADL https://www.adl.org/resources/reports/white-supremacist-propaganda-surges-on-campus,Website,"Our whole purpose is gradual escalation and we have done absolutely fucking NOTHING. Its time to stop fucking around and get serious. Between September 20-25 I want everyone who isnt in a wheelchair to get out and act. Flyers, windows, and tires. Lets take back our image of strength and cohesion.",White Supremacist,Radicalization,-,USA,
ADL https://www.adl.org/resources/reports/white-supremacist-propaganda-surges-on-campus,Website,"Focus on broad anti-white elements for now, though. Nigger cars, jew businesses etc.",White Supremacist,Radicalization,-,USA,
https://www.thestranger.com/slog/2017/06/07/25198365/neo-nazi-group-posts-flyers-at-evergreen-state-college-after-student-demonstrations,Website,Black Lives Don’t Matter,White Supremacist,Propaganda,-,USA,
https://www.propublica.org/article/atomwaffen-division-inside-white-hate-group,Website,Rats and traitors get the rope first,White Supremacist,Radicalization,-,USA,
https://www.propublica.org/article/atomwaffen-division-inside-white-hate-group,Website,A new world order will rise from the ashes of the kike system.,White Supremacist,Propaganda,-,USA,
https://www.propublica.org/article/atomwaffen-division-inside-white-hate-group,Website,Join your local Nazis,White Supremacist,Recruitment,-,USA,
https://www.propublica.org/article/atomwaffen-division-inside-white-hate-group,Website,"We want men who are willing to be the boots on the ground. Joining us means serious dedication not only to the Atomwaffen Division and its members, but to the goal of Total Aryan Victory",White Supremacist,Recruitment,-,USA,
https://nypost.com/2018/01/09/neo-nazi-leader-gets-5-years-for-having-explosive-material/,Website,"Don’t prepare for exams, prepare for a race war.",White Supremacist,Radicalization,-,USA,
https://www.counterextremism.com/supremacy/atomwaffen-division-national-socialist-order,Website,"We will build an Aryan, National Socialist world by any means necessary.",White Supremacist,Propaganda,-,USA,
https://www.huffingtonpost.co.uk/2014/03/06/new-neo-nazi-group-national-action_n_4910260.html?guccounter=1,Website,"White Youths between ages of 15-29 who are looking to become racial activists. Our group is about carrying out direct action operations nationwide, and we would love to hear from you. Flyers, stickers, and activites will all be provided free of charge to willing volunteers. If you are interested please contact us today!",White Supremacist,Recruitment,-,USA,
https://www.counterextremism.com/supremacy/combat-18,Website,"all non-whites back to Africa, Asia, Arabia, whether alive or in body bags",White Supremacist,Propaganda,"Africa, Asia, Arabia",USA,
https://www.counterextremism.com/supremacy/combat-18,Website,"weed out all Jews in the government, the media, the arts, the professions",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/supremacy/combat-18,Website,put into camps the rest until we find a final solution to the eternal Jew.,White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"I am not in the position to, alone, go into the ghetto and fight. I chose Charleston because it is most historic city in my state, and at one time had the highest ratio of blacks to Whites in the country. We have no skinheads, no real KKK, no one doing anything but talking on the internet. Well someone has to have the bravery to take it to the real world, and I guess that has to be me.",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,Segregation was not a bad thing...It was a defensive measure. Segregation did not exist to hold back niggers. It existed to protect us from them,White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"The rapidly growing non-European population, which is within the borders of the Nordic region, will, in combination with race blend and low Nordic birth rates, effectively provide for the safe and secure death of the Nordic breed if something is not done.",White Supremacist,Propaganda,"Norway,Sweden,Finland",USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"It is a battle of life and death, with the race's survival as an effort. It's time to take courage and move the sword out of the stone. The destiny is here and now! Do right- fear nothing!",White Supremacist,Recruitment,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"The Nordics and the Nordic race are in imminent danger. Through the use of their power positions and their influence, traitors, big finance and enemy media have for many years made sure that the gates to the Nordics are wide open, thus enabling the ongoing, racially alien invasion of our lands",White Supremacist,Radicalization,"Norway,Sweden,Finland",USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"The Mexican birthrate in this country is five times that of white people. The black birthrate is four times larger. America will become a Third World nation if these trends continue. Unless we slow down and cut off immigration by beefing up border control and encourage welfare recipients to have fewer kids, the white population in America will be swamped.",White Supremacist,Propaganda,USA,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"You can’t raise the nigger race of people that aren’t equal to white. Whether it’s in schooling, whether it’s in housing, in the community, or in society or what it is. You can only do one thing as the situation has proven itself in the Washington D.C. school system.",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"You can only bring the white race down, and by continually bringing the white race down you’re bringing them down to a level with the nigger race of people.",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,You don’t bring the nigger up to the level of the white. You’re bringing the white and driving the white down on to a level of that of the nigger. And that’s the entire program of desegregation that’s transpiring and taking place,White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,I sure will believe in segregation for the simple reason we believe in preserving and protecting God’s word. He created the white man. He intended for him to stay white. He created the nigger. He intended for him to stay black. And we believe that Mongolization destroys both races and creates a Mongol which is not a race.,White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"Anti-White discrimination is official government policy through ‘affirmative action’ schemes such as minority scholarships, minority business grants, contract ‘set-asides,’ and the hiring and force fed promotion of less qualified employees. We demand an end to all government enforced race mixing such as busing and moving welfare recipients into Middle Class neighborhoods.",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,So for a church to welcome so-called Christian homosexuals or non-whites into the congregation—because its some sort of hospital for the depraved is wrong,White Supremacist,Radicalization,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"Finally, we are all going to be linked together at one point in time. Imagine if you will, all the great minds of the patriotic Christian movement linked together and joined into one computer. Now imagine any patriot in the country being able to call up and access those minds, to deal with the problems and issues that affect him. You are on line with the Aryan Nations brain trust. It is here to serve the folk",White Supremacist,Propaganda,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"Hello my fellow kids, I am 16, i would like to URGE ALL OF YOU not to do drugs. You hear that repeatedly, and many think its idiotic. People who dopot, crack, any drugs, have no future, have no power. Do you want to be futureless? be powerless, because i dont. I want power, control, i want people to fear me, i want money, i want the world, i want our cause to be praised world wide, i hope you do too. Doing drugs will make you inferior, and will not help you become an elite. So kiddies, whether your my age, or younger, please dont do drugs, i would hate to see one of our Aryan brothers polluted bysubstances created by some fucking disgusting spic asshole in columbia or mexico",White Supremacist,Radicalization,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"Hello to all of the future generations of White Nationalists!The Knights of the KuKluxKlan has for racially minded youths a YouthKlanCorp.All of those young ones that are interested in participating in the Great and Noble organization of The Knightsof the KuKluxKlanare encouraged to join!The Knightsof the KuKluxKlanare a political movement that promotes White Christian Revival and Values. Yes, we still practice ceremony and we still stand For GOD, RACE, and NATION!",White Supremacist,Recruitment,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"We gather at special times of the year for fellowship and worship and The Knights also encourage White Christian Youths to become involved in their desire to standFor GOD, RACE, and NATION too.To view the Knights of the KuKluxKlan webpage, point your cursor to the Confederate Flag and click. Through this page you can visit a lot of the different aspects of The Knights of the KuKluxKlan.To see the online application for membership in The Knights of the KuKluxKlan, point your cursor to the Knightsbanner on the Right side of Our Country's Flag. This will take you to the online application for membership into The Knights of The KuKluxKlan",White Supremacist,Recruitment,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,Follow your Racial calling and allow GOD to guide you to the Truth.,White Supremacist,Recruitment,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"Some of you may be a bit young to remember this, so a quick rundown: Panzerfaust Records (Now Tightrope Records) pressed a 100,000 copies of what they called Project Schoolyard. This is a compact disc packed full of pro-white music, with different music tastes for everyone. The discs are mass-produced for distribution at schools, although you could distribute them elsewhere. This project was VERY successful and garnered TONS of support, as well as a lot of coverage from the media. I for one, would like to see this take off again...hell, I would LOVE to see us be even more successful this time around. It is up to YOUto make this happen. The price per CD is only 0.30 cents so I don't want to hear anyone complaining about how they cant afford it!!! HOWEVER...I would like you to continue reading before youparticipate in this project.",White Supremacist,Radicalization,-,USA,
https://www.lawfareblog.com/iron-march-data-dump-provides-window-how-white-supremacists-communicate-and-recruit,Website,"In my unit (infantry) I’ve met quite a few rightists—some openly NS, lots of neo-Nazis, others just nationalists, others red-pilled conservatives, others blue-pilled militiamen, even a couple Mormon extremists. You see plenty “of our kind” in the combat arms.... On most bases you can see the occasional right-wing symbol. Sun wheel there, 88 here, Mussolini’s face over there, a Templar cross tattoo. The symbols of SS units are especially common, even on things as public as cars, flags, and helmets",White Supremacist,Propaganda,-,USA,
https://www.lawfareblog.com/iron-march-data-dump-provides-window-how-white-supremacists-communicate-and-recruit,Website,"The thing is, you can’t defend alt-right here while claiming to support Iron March/Atomwaffen. Pick one because you cannot be on both sides at once.",White Supremacist,Recruitment,-,USA,
https://www.abc.net.au/news/2021-03-26/the-base-tapes-secret-recordings-australian-recruitment/13255994,Website,"We have barely a toehold right now in Australia, we need to change that to a foothold",White Supremacist,Recruitment,-,Australia,
https://www.abc.net.au/news/2021-03-26/the-base-tapes-secret-recordings-australian-recruitment/13255994,Website,"So appreciate you accepting this role. You know, you have been doing a real solid for us, even though you're out there in Australia, kind of on your own for a while. You stayed committed to The Base and, you know, you've done things actively. I mean, you postered.",White Supremacist,Recruitment,-,Australia,
https://www.abc.net.au/news/2021-03-26/the-base-tapes-secret-recordings-australian-recruitment/13255994,Website,"We're looking for guys who realise that there's a degree of risk involved with getting involved with us and they're willing to take on that risk because they feel the mission is important enough and they want to be, you know, participate strongly enough that they're willing to take on that degree of risk.",White Supremacist,Recruitment,-,Australia,
https://www.abc.net.au/news/2021-03-26/the-base-tapes-secret-recordings-australian-recruitment/13255994,Website,“I was just starting to see all the [Sudanese] in Melbourne and that sort of stuff and I’m just becoming more racist.”,White Supremacist,Radicalization,-,Australia,
https://www.businessinsider.in/politics/world/news/neo-nazi-groups-are-using-instagram-to-recruit-young-teenagers-experts-warn-memes-are-being-used-to-entice-them-/articleshow/81726034.cms,Website,Establish White Law,White Supremacist,Recruitment,-,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,“diversity” is a weapon of annihilation targeting  American identity,White Supremacist,Propaganda,USA,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,Diversity destroys Nations,White Supremacist,Recruitment,-,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,Immigration Kills. Coronavirus Made in China,White Supremacist,Recruitment,China,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,Protect American Workers,White Supremacist,Recruitment,USA,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,Nationalism not Globalism,White Supremacist,Recruitment,-,USA,
https://gothamist.com/news/white-supremacist-recruiting-poster-spotted-then-destroyed-bay-ridge,Website,To ourselves and our posterity,White Supremacist,Recruitment,-,USA,
